image1,image2,image3,credit1,credit2,credit3,is_rating_trial,text_attention
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,1,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,1,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,1,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,1,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,tool_cropped.jpg,grey.png,7,3,0,0,0
animal_cropped.jpg,clothing_cropped.jpg,grey.png,6,2,0,0,0
flower_cropped.jpg,transport_cropped.jpg,grey.png,7,4,0,0,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,1,0
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,0,0
flower_cropped.jpg,transport_cropped.jpg,grey.png,7,4,0,0,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,0,0
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,0,0
flower_cropped.jpg,transport_cropped.jpg,grey.png,7,4,0,1,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,0,0
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,0,0
flower_cropped.jpg,transport_cropped.jpg,grey.png,7,4,0,0,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,0,0
tool_cropped.jpg,flower_cropped.jpg,grey.png,0,0,0,0,1
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,1,0
flower_cropped.jpg,transport_cropped.jpg,grey.png,7,4,0,0,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,0,0
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,0,0
flower_cropped.jpg,transport_cropped.jpg,grey.png,7,4,0,0,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,1,0
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,0,0
animal_cropped.jpg,tool_cropped.jpg,grey.png,6,3,0,0,0
fruit_cropped.jpg,clothing_cropped.jpg,grey.png,5,2,0,0,0
flower_cropped.jpg,fruit_cropped.jpg,grey.png,7,5,0,0,0
