image1,image2,credit1,credit2
animal_cropped.jpg,clock_cropped.jpg,6,1
animal_cropped.jpg,clothing_cropped.jpg,6,2
animal_cropped.jpg,flower_cropped.jpg,6,7
animal_cropped.jpg,fruit_cropped.jpg,6,5
animal_cropped.jpg,tool_cropped.jpg,6,3
animal_cropped.jpg,transport_cropped.jpg,6,4
clock_cropped.jpg,clothing_cropped.jpg,1,2
clock_cropped.jpg,flower_cropped.jpg,1,7
clock_cropped.jpg,fruit_cropped.jpg,1,5
clock_cropped.jpg,tool_cropped.jpg,1,3
clock_cropped.jpg,transport_cropped.jpg,1,4
clothing_cropped.jpg,flower_cropped.jpg,2,7
clothing_cropped.jpg,fruit_cropped.jpg,2,5
clothing_cropped.jpg,tool_cropped.jpg,2,3
clothing_cropped.jpg,transport_cropped.jpg,2,4
flower_cropped.jpg,fruit_cropped.jpg,7,5
flower_cropped.jpg,tool_cropped.jpg,7,3
flower_cropped.jpg,transport_cropped.jpg,7,4
fruit_cropped.jpg,tool_cropped.jpg,5,3
fruit_cropped.jpg,transport_cropped.jpg,5,4
tool_cropped.jpg,transport_cropped.jpg,3,4
